,customerID,age,age_group
1937,155797,33,ADULT
1944,62162,47,MIDDLE-AGED
1947,70426,48,MIDDLE-AGED
1950,60809,29,ADULT
1955,54208,24,ADULT
1959,57465,22,ADULT
1961,61632,35,ADULT
1966,50261,60,SENIOR
1980,78851,53,SENIOR
1983,56492,33,ADULT
1986,58122,47,MIDDLE-AGED
1991,77104,34,ADULT
1996,67653,41,MIDDLE-AGED
2000,65845,50,MIDDLE-AGED
2004,157425,23,ADULT
2008,66170,27,ADULT
2015,54283,59,SENIOR
2017,68817,39,MIDDLE-AGED
2021,54512,38,MIDDLE-AGED
2028,58562,31,ADULT
2031,58836,40,MIDDLE-AGED
2039,156662,33,ADULT
2046,73294,37,MIDDLE-AGED
2048,155102,53,SENIOR
2053,56958,36,MIDDLE-AGED
2058,52705,61,SENIOR
2059,64238,21,ADULT
2063,59599,38,MIDDLE-AGED
2076,55112,29,ADULT
2077,54343,29,ADULT
2080,59634,26,ADULT
2082,51964,28,ADULT
2083,73471,27,ADULT
2092,52730,45,MIDDLE-AGED
2098,58708,37,MIDDLE-AGED
2102,67606,26,ADULT
2110,67900,39,MIDDLE-AGED
2113,59016,35,ADULT
2116,51074,46,MIDDLE-AGED
2124,156289,41,MIDDLE-AGED
2126,60773,37,MIDDLE-AGED
2129,57543,45,MIDDLE-AGED
2132,59270,46,MIDDLE-AGED
2138,74393,41,MIDDLE-AGED
2140,70705,62,SENIOR
2145,53884,43,MIDDLE-AGED
2149,57906,34,ADULT
2158,158864,28,ADULT
2159,73914,42,MIDDLE-AGED
2162,63007,55,SENIOR
2166,56158,34,ADULT
2170,73926,57,SENIOR
2173,61052,46,MIDDLE-AGED
2177,58124,40,MIDDLE-AGED
2179,58529,40,MIDDLE-AGED
2183,64513,50,MIDDLE-AGED
2185,52746,31,ADULT
2186,53066,32,ADULT
2187,54557,33,ADULT
2195,156623,54,SENIOR
2201,53119,6,YOUTH
2203,77977,36,MIDDLE-AGED
2205,78877,22,ADULT
2210,58394,23,ADULT
2214,58395,40,MIDDLE-AGED
2228,155547,32,ADULT
2230,58026,51,SENIOR
2233,58449,41,MIDDLE-AGED
2234,52563,43,MIDDLE-AGED
2239,78196,45,MIDDLE-AGED
2245,76045,37,MIDDLE-AGED
2258,66935,30,ADULT
2263,70792,47,MIDDLE-AGED
2269,69882,54,SENIOR
2272,64184,32,ADULT
2273,59591,21,ADULT
2276,61558,36,MIDDLE-AGED
2281,51487,27,ADULT
2283,64019,48,MIDDLE-AGED
2296,77485,25,ADULT
2303,156293,40,MIDDLE-AGED
2307,56045,37,MIDDLE-AGED
2310,60936,36,MIDDLE-AGED
2312,58564,36,MIDDLE-AGED
2316,64240,28,ADULT
2326,72424,36,MIDDLE-AGED
2330,60410,41,MIDDLE-AGED
2336,55497,34,ADULT
2337,74577,36,MIDDLE-AGED
2341,50611,33,ADULT
2345,59745,33,ADULT
2355,71795,31,ADULT
2360,155285,35,ADULT
2362,67847,33,ADULT
2367,51071,34,ADULT
2370,59113,22,ADULT
2371,59868,40,MIDDLE-AGED
2379,53234,30,ADULT
2382,158868,35,ADULT
2385,52551,37,MIDDLE-AGED
2391,55038,49,MIDDLE-AGED
2399,75081,35,ADULT
2403,63591,45,MIDDLE-AGED
2406,55528,42,MIDDLE-AGED
2409,69676,23,ADULT
2420,52721,55,SENIOR
2427,76737,36,MIDDLE-AGED
2430,52558,59,SENIOR
2431,51559,32,ADULT
2433,58567,55,SENIOR
2439,59860,26,ADULT
2441,58582,45,MIDDLE-AGED
2447,59535,35,ADULT
2448,56113,41,MIDDLE-AGED
2450,60005,25,ADULT
2458,69375,64,SENIOR
2460,52285,41,MIDDLE-AGED
2464,57857,46,MIDDLE-AGED
2467,155402,36,MIDDLE-AGED
2471,63485,30,ADULT
2476,54673,46,MIDDLE-AGED
2479,53577,21,ADULT
2488,68288,61,SENIOR
2492,58759,48,MIDDLE-AGED
2495,57716,49,MIDDLE-AGED
2499,64107,32,ADULT
2502,72590,46,MIDDLE-AGED
2507,59871,26,ADULT
2509,58340,39,MIDDLE-AGED
2510,66396,53,SENIOR
2513,56513,38,MIDDLE-AGED
2516,60506,26,ADULT
2519,66751,32,ADULT
2523,61302,52,SENIOR
2530,79192,26,ADULT
2534,67612,39,MIDDLE-AGED
2536,65913,54,SENIOR
2541,61370,34,ADULT
2545,63563,58,SENIOR
2547,57898,18,YOUTH
2551,56395,38,MIDDLE-AGED
2556,69219,58,SENIOR
2558,66281,24,ADULT
2560,61018,38,MIDDLE-AGED
2562,155584,44,MIDDLE-AGED
2571,64727,6,YOUTH
2573,55441,43,MIDDLE-AGED
2575,60100,35,ADULT
2579,52549,56,SENIOR
2584,71473,60,SENIOR
2587,60194,26,ADULT
2590,53488,38,MIDDLE-AGED
