uscore,price,item_type,item_cat,item_desc
3091,594,Side,Dimsum;Pork,Radish Cake
167,909,Dessert,Dessert;Cold,Red Bean Snow
450,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
570,1394,Main,Rice;Pork,SH Pork Chop Rice
370,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
21,594,Drink,Drink;Cold,SOUR PLUM COKE
181,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
446,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
2654,594,Side,Dimsum;Pork,SPRING ROLL
621,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
119,1151,Main,Porridge;Seafood,Sampan Congee
100,1321,Main,Noodle;Seafood,Seafood Ee Noodle
88,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
255,1273,Main,Rice;Seafood,Seafood Muifan
223,1273,Main,Noodle;Seafood,Seafood Sauteed HF
163,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
592,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
6524,545,Side,Dimsum;Seafood;Pork,Siew Mai
1139,1394,Main,Noodle;Pork,Signature Fried Noodles
2653,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
697,1200,Main,Porridge;Seafood,Sliced Empress Congee
100,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
808,352,Side,Bread,Soft Boiled Eggs
780,836,Side,Soup,Soup Of The Day
135,1030,Main,Porridge;Pork,Spicy Pork Por
1569,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
12,352,Drink,Drink;Cold,Sprite
374,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
1655,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
59,206,Drink,Drink;Hot,Teh
155,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
135,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
457,182,Side,Addons;Vegetarian,WHITE RICE
1332,715,Side,Soup;Pork;Seafood,Wanton Soup
331,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
172,73,Drink,Drink;Hot,Warm Water
150,788,Dessert,Dessert;Cold,Watermelon 'N' Jelly
38,715,Drink,Drink;Cold,Watermelon Ice
24,715,Drink,Drink;Cold,Watermelon Ice-Blended
1139,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
83,388,Drink,Drink;Hot,Yuzu Tea
